seqID,cluster,ancestor
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,2,1
9,1,1
10,1,1
11,3,1
12,4,1
13,5,1
14,6,1
15,7,1
16,8,1
17,15,1
18,10,1
19,11,1
20,12,1
21,13,1
22,14,1
23,15,1
24,16,1
25,17,1
26,18,18
27,18,18
28,18,18
29,18,18
30,18,18
31,18,18
32,19,18
33,18,18
34,20,18
35,18,18
36,21,18
37,25,18
38,23,18
39,29,18
40,25,18
41,26,18
42,27,18
43,28,18
44,29,18
45,30,18
46,31,18
47,32,18
48,33,18
49,34,18
50,35,18
51,36,18
52,37,37
53,37,37
54,37,37
55,37,37
56,37,37
57,37,37
58,37,37
59,38,37
60,37,37
61,37,37
62,39,37
63,40,37
64,41,37
65,42,37
66,43,37
67,44,37
68,45,37
69,46,37
70,47,37
71,48,37
72,49,37
73,50,37
74,51,37
75,52,37
76,53,37
77,54,37
78,55,55
79,55,55
80,55,55
81,55,55
82,55,55
83,55,55
84,55,55
85,55,55
86,55,55
87,56,55
88,55,55
89,57,55
90,61,55
91,59,55
92,60,55
93,61,55
94,62,55
95,63,55
96,64,55
97,65,55
98,66,55
99,67,55
100,68,55
101,69,55
102,70,55
103,71,55
104,72,72
105,72,72
106,72,72
107,72,72
108,72,72
109,72,72
110,72,72
111,73,72
112,74,72
113,72,72
114,72,72
115,75,72
116,84,72
117,77,72
118,78,72
119,79,72
120,80,72
121,81,72
122,82,72
123,83,72
124,84,72
125,85,72
126,86,72
127,87,72
128,88,72
129,89,72
130,90,90
131,90,90
132,90,90
133,90,90
134,90,90
135,90,90
136,90,90
137,90,90
138,90,90
139,91,90
140,90,90
141,92,90
142,93,90
143,101,90
144,95,90
145,96,90
146,97,90
147,100,90
148,99,90
149,100,90
150,101,90
151,102,90
152,103,90
153,104,90
154,105,90
155,106,90
156,107,107
157,107,107
158,107,107
159,107,107
160,107,107
161,107,107
162,107,107
163,108,107
164,107,107
165,109,107
166,107,107
167,110,107
168,111,107
169,112,107
170,113,107
171,107,107
172,114,107
173,115,107
174,116,107
175,117,107
176,118,107
177,119,107
178,120,107
179,121,107
180,122,107
181,123,107
182,124,124
183,124,124
184,124,124
185,124,124
186,124,124
187,124,124
188,124,124
189,124,124
190,125,124
191,126,124
192,124,124
193,127,124
194,135,124
195,129,124
196,130,124
197,135,124
198,132,124
199,133,124
200,134,124
201,135,124
202,136,124
203,137,124
204,138,124
205,139,124
206,140,124
207,141,124
208,142,142
209,142,142
210,142,142
211,142,142
212,142,142
213,142,142
214,142,142
215,143,142
216,144,142
217,145,142
218,146,142
219,147,142
220,148,142
221,149,142
222,150,142
223,151,142
224,152,142
225,153,142
226,154,142
227,155,142
228,156,142
229,157,142
230,158,142
231,159,142
232,160,142
233,161,142
234,162,162
235,162,162
236,162,162
237,162,162
238,162,162
239,162,162
240,162,162
241,162,162
242,163,162
243,164,162
244,165,162
245,166,162
246,167,162
247,168,162
248,173,162
249,170,162
250,171,162
251,173,162
252,173,162
253,174,162
254,175,162
255,176,162
256,177,162
257,178,162
258,179,162
259,180,162
260,181,181
261,181,181
262,181,181
263,181,181
264,181,181
265,181,181
266,182,181
267,181,181
268,181,181
269,183,181
270,184,181
271,185,181
272,186,181
273,187,181
274,188,181
275,189,181
276,190,181
277,191,181
278,192,181
279,193,181
280,194,181
281,195,181
282,196,181
283,197,181
284,198,181
285,199,181
286,200,200
287,200,200
288,200,200
289,200,200
290,200,200
291,200,200
292,201,200
293,200,200
294,200,200
295,202,200
296,203,200
297,204,200
298,205,200
299,206,200
300,207,200
301,208,200
302,209,200
303,210,200
304,217,200
305,212,200
306,217,200
307,214,200
308,215,200
309,216,200
310,217,200
311,218,200
312,219,219
313,219,219
314,219,219
315,219,219
316,219,219
317,219,219
318,219,219
319,220,219
320,219,219
321,219,219
322,219,219
323,221,219
324,222,219
325,230,219
326,224,219
327,225,219
328,226,219
329,227,219
330,228,219
331,229,219
332,230,219
333,231,219
334,232,232
335,233,219
336,234,219
337,235,219
338,236,236
339,236,236
340,236,236
341,236,236
342,236,236
343,236,236
344,237,236
345,238,236
346,239,236
347,236,236
348,236,236
349,240,236
350,241,236
351,242,236
352,243,236
353,244,236
354,245,236
355,246,236
356,247,236
357,248,236
358,249,236
359,250,236
360,251,236
361,252,236
362,253,236
363,254,236
364,255,255
365,255,255
366,255,255
367,255,255
368,255,255
369,255,255
370,255,255
371,256,255
372,255,255
373,255,255
374,257,255
375,255,255
376,258,255
377,259,255
378,260,255
379,261,255
380,262,255
381,263,255
382,264,255
383,265,255
384,266,255
385,267,255
386,268,255
387,269,255
388,270,255
389,271,255
390,272,272
391,272,272
392,272,272
393,272,272
394,272,272
395,272,272
396,273,272
397,272,272
398,280,272
399,272,272
400,272,272
401,275,272
402,276,272
403,277,272
404,278,272
405,281,272
406,280,272
407,283,272
408,282,272
409,283,272
410,284,272
411,285,272
412,286,272
413,287,272
414,288,272
415,289,272
416,290,290
417,290,290
418,290,290
419,290,290
420,290,290
421,290,290
422,290,290
423,291,290
424,292,290
425,290,290
426,290,290
427,293,290
428,294,290
429,295,290
430,296,290
431,297,290
432,298,290
433,299,290
434,300,290
435,301,290
436,302,290
437,303,290
438,304,290
439,305,290
440,306,290
441,307,307
442,308,308
443,308,308
444,308,308
445,308,308
446,308,308
447,308,308
448,309,308
449,308,308
450,308,308
451,308,308
452,310,308
453,311,308
454,312,308
455,313,308
456,314,308
457,315,308
458,316,308
459,317,308
460,318,308
461,319,308
462,320,308
463,321,308
464,322,308
465,323,308
466,324,308
467,325,308
468,326,326
469,326,326
470,326,326
471,326,326
472,326,326
473,326,326
474,326,326
475,326,326
476,326,326
477,326,326
478,326,326
479,327,326
480,328,326
481,329,326
482,330,326
483,335,326
484,332,326
485,333,326
486,334,326
487,335,326
488,336,326
489,337,326
490,338,326
491,339,326
492,340,326
493,341,326
494,342,342
495,342,342
496,342,342
497,342,342
498,342,342
499,342,342
500,342,342
501,343,342
502,342,342
503,342,342
504,344,342
505,345,342
506,346,342
507,347,342
508,348,342
509,349,342
510,350,342
511,351,342
512,352,342
513,353,342
514,354,342
515,355,342
516,356,342
517,357,342
518,358,342
519,359,359
520,360,360
521,360,360
522,360,360
523,360,360
524,360,360
525,360,360
526,360,360
527,361,360
528,360,360
529,362,360
530,363,360
531,360,360
532,364,360
533,360,360
534,367,360
535,373,360
536,367,360
537,368,360
538,369,360
539,370,360
540,371,360
541,372,360
542,373,360
543,374,360
544,375,360
545,376,360
546,377,377
547,377,377
548,377,377
549,377,377
550,377,377
551,377,377
552,378,377
553,379,377
554,380,377
555,377,377
556,381,377
557,382,377
558,383,377
559,384,377
560,385,377
561,386,377
562,387,377
563,388,377
564,389,377
565,390,377
566,391,377
567,392,377
568,393,377
569,394,377
570,395,377
571,396,377
572,397,397
573,397,397
574,397,397
575,397,397
576,397,397
577,397,397
578,397,397
579,398,397
580,399,397
581,400,397
582,401,397
583,402,397
584,410,397
585,397,397
586,410,397
587,405,397
588,406,397
589,407,397
590,408,397
591,409,397
592,410,397
593,411,397
594,412,397
595,413,397
596,414,397
597,415,397
598,416,416
599,416,416
600,416,416
601,416,416
602,416,416
603,416,416
604,417,416
605,416,416
606,416,416
607,418,416
608,416,416
609,419,416
610,420,416
611,421,416
612,422,416
613,423,416
614,424,416
615,425,416
616,426,416
617,427,416
618,428,416
619,429,416
620,430,416
621,431,416
622,432,416
623,433,416
624,434,434
625,434,434
626,434,434
627,434,434
628,434,434
629,434,434
630,435,434
631,434,434
632,436,434
633,434,434
634,437,434
635,438,434
636,434,434
637,439,434
638,440,434
639,441,434
640,446,434
641,443,434
642,444,434
643,445,434
644,446,434
645,447,434
646,448,434
647,449,434
648,450,434
649,451,434
650,452,452
651,452,452
652,452,452
653,452,452
654,452,452
655,452,452
656,453,452
657,458,452
658,452,452
659,452,452
660,452,452
661,457,452
662,456,452
663,457,452
664,458,452
665,459,452
666,460,452
667,461,452
668,462,452
669,463,452
670,464,452
671,465,452
672,466,466
673,467,452
674,468,452
675,469,452
676,470,470
677,470,470
678,470,470
679,470,470
680,470,470
681,470,470
682,471,470
683,472,470
684,473,470
685,470,470
686,476,470
687,470,470
688,470,470
689,476,470
690,470,470
691,470,470
692,476,470
693,477,470
694,478,470
695,479,470
696,480,470
697,481,470
698,482,470
699,483,470
700,484,470
701,485,470
702,486,486
703,486,486
704,486,486
705,486,486
706,486,486
707,486,486
708,487,486
709,488,486
710,486,486
711,489,486
712,486,486
713,490,486
714,491,486
715,492,486
716,493,486
717,495,486
718,495,486
719,496,486
720,497,486
721,498,486
722,499,486
723,500,486
724,501,486
725,502,486
726,503,486
727,504,486
728,505,505
729,505,505
730,505,505
731,505,505
732,505,505
733,505,505
734,505,505
735,505,505
736,506,505
737,505,505
738,505,505
739,507,505
740,508,505
741,509,505
742,510,505
743,511,505
744,512,505
745,513,505
746,514,505
747,515,505
748,516,505
749,517,505
750,518,505
751,519,505
752,520,505
753,521,505
754,522,522
755,522,522
756,522,522
757,522,522
758,522,522
759,522,522
760,522,522
761,523,522
762,529,522
763,522,522
764,522,522
765,525,522
766,526,522
767,527,522
768,528,522
769,529,522
770,530,522
771,531,522
772,532,522
773,533,522
774,534,522
775,535,522
776,536,522
777,537,522
778,538,522
779,539,522
780,540,540
781,540,540
782,540,540
783,540,540
784,540,540
785,540,540
786,541,540
787,540,540
788,540,540
789,540,540
790,540,540
791,542,540
792,543,540
793,544,540
794,540,540
795,545,540
796,546,540
797,547,540
798,548,540
799,549,540
800,550,540
801,551,540
802,552,552
803,553,540
804,554,540
805,555,540
806,556,556
807,556,556
808,556,556
809,556,556
810,556,556
811,556,556
812,556,556
813,556,556
814,556,556
815,556,556
816,557,556
817,558,556
818,559,556
819,560,556
820,561,556
821,562,556
822,563,556
823,564,556
824,565,556
825,566,556
826,567,556
827,568,556
828,569,556
829,570,556
830,571,556
831,572,556
832,573,573
833,573,573
834,573,573
835,573,573
836,573,573
837,573,573
838,574,573
839,573,573
840,573,573
841,575,573
842,576,573
843,577,573
844,578,573
845,573,573
846,579,573
847,580,573
848,581,573
849,582,573
850,583,573
851,584,573
852,585,573
853,586,573
854,587,573
855,588,573
856,589,573
857,590,573
858,591,591
859,591,591
860,591,591
861,591,591
862,591,591
863,591,591
864,592,591
865,591,591
866,593,591
867,594,591
868,591,591
869,595,591
870,596,591
871,597,591
872,603,591
873,599,591
874,600,591
875,601,591
876,602,591
877,603,591
878,604,591
879,605,591
880,606,591
881,607,607
882,608,591
883,609,591
884,610,610
885,610,610
886,610,610
887,610,610
888,610,610
889,610,610
890,610,610
891,610,610
892,610,610
893,611,610
894,610,610
895,612,610
896,613,610
897,614,610
898,615,610
899,620,610
900,617,610
901,618,610
902,619,610
903,620,610
904,621,610
905,622,610
906,623,610
907,624,610
908,625,610
909,626,610
910,627,627
911,627,627
912,627,627
913,627,627
914,627,627
915,627,627
916,627,627
917,628,627
918,627,627
919,627,627
920,629,627
921,630,627
922,631,627
923,637,627
924,637,627
925,637,627
926,635,627
927,636,627
928,637,627
929,638,627
930,639,627
931,640,627
932,641,627
933,642,627
934,643,627
935,644,627
936,645,645
937,645,645
938,645,645
939,645,645
940,645,645
941,645,645
942,645,645
943,646,645
944,645,645
945,645,645
946,647,645
947,654,645
948,649,645
949,650,645
950,651,645
951,652,645
952,653,645
953,654,645
954,655,645
955,656,645
956,657,645
957,658,645
958,659,645
959,660,645
960,661,645
961,662,645
962,663,663
963,663,663
964,663,663
965,663,663
966,663,663
967,663,663
968,664,663
969,663,663
970,670,663
971,670,663
972,670,663
973,668,663
974,669,663
975,670,663
976,671,663
977,673,663
978,673,663
979,674,663
980,675,663
981,676,663
982,677,663
983,678,663
984,679,663
985,680,663
986,681,663
987,682,663
988,683,683
989,683,683
990,683,683
991,683,683
992,683,683
993,683,683
994,684,683
995,683,683
996,683,683
997,685,683
998,683,683
999,686,683
1000,688,683
1001,688,683
1002,689,683
1003,690,683
1004,691,683
1005,692,683
1006,693,683
1007,694,683
1008,695,683
1009,696,683
1010,697,683
1011,698,683
1012,699,683
1013,700,683
1014,701,701
1015,701,701
1016,701,701
1017,701,701
1018,701,701
1019,701,701
1020,702,701
1021,701,701
1022,709,701
1023,714,701
1024,705,701
1025,707,701
1026,707,701
1027,708,701
1028,709,701
1029,710,701
1030,711,701
1031,712,701
1032,713,701
1033,714,701
1034,715,701
1035,716,701
1036,717,701
1037,718,701
1038,719,701
1039,720,701
1040,721,721
1041,721,721
1042,721,721
1043,721,721
1044,721,721
1045,721,721
1046,721,721
1047,721,721
1048,721,721
1049,721,721
1050,722,721
1051,723,721
1052,724,721
1053,725,721
1054,726,721
1055,727,721
1056,728,721
1057,729,721
1058,730,721
1059,731,721
1060,732,721
1061,733,721
1062,734,721
1063,735,721
1064,736,721
1065,737,721
1066,738,738
1067,738,738
1068,738,738
1069,738,738
1070,738,738
1071,738,738
1072,738,738
1073,738,738
1074,738,738
1075,738,738
1076,739,738
1077,740,738
1078,741,738
1079,742,738
1080,743,738
1081,744,738
1082,745,738
1083,746,738
1084,747,738
1085,754,738
1086,749,738
1087,750,738
1088,751,738
1089,752,738
1090,753,738
1091,754,738
