seqID,cluster,ancestor,level
0,1,1,0
1,1,1,0
2,2,1,1
3,1,1,0
4,1,1,0
5,1,1,0
6,3,1,2
7,4,1,4
8,5,1,5
9,4,1,4
10,1,1,0
11,6,1,3
12,7,1,6
13,5,1,5
14,7,1,6
15,5,1,5
16,8,1,7
17,7,1,6
18,7,1,6
19,5,1,5
20,7,1,6
21,7,1,6
22,8,1,7
23,7,1,6
24,9,1,7
25,8,1,7
26,10,480,2
27,10,480,2
28,10,480,2
29,10,480,2
30,10,480,2
31,10,480,2
32,11,480,3
33,12,480,5
34,13,480,6
35,14,480,4
36,13,480,6
37,15,480,8
38,13,480,6
39,13,480,6
40,13,480,6
41,16,480,9
42,17,480,10
43,15,480,8
44,16,480,9
45,16,480,9
46,13,480,6
47,18,480,8
48,19,480,9
49,20,480,7
50,15,480,8
51,15,480,8
52,21,21,0
53,21,21,0
54,21,21,0
55,21,21,0
56,21,21,0
57,22,21,1
58,23,21,2
59,24,21,5
60,23,21,2
61,21,21,0
62,25,21,3
63,26,21,4
64,27,21,6
65,26,21,4
66,24,21,5
67,27,21,6
68,27,21,6
69,28,21,7
70,28,21,7
71,27,21,6
72,27,21,6
73,27,21,6
74,27,21,6
75,27,21,6
76,29,21,6
77,27,21,6
78,30,30,0
79,30,30,0
80,30,30,0
81,30,30,0
82,30,30,0
83,31,30,1
84,32,30,2
85,33,30,3
86,30,30,0
87,34,30,4
88,34,30,4
89,35,30,5
90,35,30,5
91,34,30,4
92,35,30,5
93,36,30,6
94,36,30,6
95,37,30,6
96,38,30,7
97,36,30,6
98,35,30,5
99,39,30,7
100,38,30,7
101,37,30,6
102,36,30,6
103,37,30,6
104,40,40,0
105,41,40,1
106,42,40,2
107,40,40,0
108,40,40,0
109,40,40,0
110,43,40,4
111,44,40,3
112,43,40,4
113,43,40,4
114,43,40,4
115,45,40,5
116,43,40,4
117,43,40,4
118,46,40,6
119,46,40,6
120,46,40,6
121,46,40,6
122,45,40,5
123,46,40,6
124,43,40,4
125,46,40,6
126,46,40,6
127,47,40,7
128,47,40,7
129,46,40,6
130,48,48,0
131,48,48,0
132,48,48,0
133,48,48,0
134,48,48,0
135,48,48,0
136,49,48,1
137,48,48,0
138,50,48,3
139,51,48,5
140,52,48,2
141,51,48,5
142,53,48,6
143,54,48,4
144,51,48,5
145,54,48,4
146,55,48,7
147,55,48,7
148,56,48,6
149,54,48,4
150,53,48,6
151,51,48,5
152,51,48,5
153,57,48,6
154,58,48,5
155,59,48,6
156,60,60,0
157,61,60,1
158,62,60,2
159,60,60,0
160,60,60,0
161,60,60,0
162,63,60,3
163,64,60,4
164,64,60,4
165,64,60,4
166,63,60,3
167,64,60,4
168,65,60,6
169,66,60,7
170,66,60,7
171,64,60,4
172,66,60,7
173,67,60,8
174,66,60,7
175,68,60,6
176,65,60,6
177,67,60,8
178,69,60,7
179,70,60,5
180,65,60,6
181,71,60,5
182,72,72,0
183,73,72,1
184,74,72,2
185,72,72,0
186,72,72,0
187,72,72,0
188,75,72,6
189,76,72,7
190,77,72,8
191,77,72,8
192,74,72,2
193,76,72,7
194,75,72,6
195,78,72,9
196,74,72,2
197,78,72,9
198,78,72,9
199,79,72,6
200,80,72,7
201,81,72,3
202,82,72,4
203,83,72,4
204,84,72,5
205,85,72,5
206,86,72,5
207,87,72,5
208,88,88,0
209,88,88,0
210,88,88,0
211,88,88,0
212,89,88,1
213,88,88,0
214,88,88,0
215,90,88,3
216,91,88,2
217,92,88,4
218,90,88,3
219,92,88,4
220,93,88,5
221,94,88,6
222,92,88,4
223,94,88,6
224,93,88,5
225,95,88,7
226,95,88,7
227,94,88,6
228,95,88,7
229,96,88,6
230,93,88,5
231,95,88,7
232,97,88,7
233,95,88,7
234,98,98,0
235,99,98,1
236,98,98,0
237,98,98,0
238,98,98,0
239,100,98,2
240,101,98,3
241,101,98,3
242,102,98,4
243,103,98,5
244,103,98,5
