seqID,cluster,ancestor,level
0,1,1,0
1,1,1,0
2,2,1,1
3,1,1,0
4,1,1,0
5,1,1,0
6,3,1,2
7,4,1,3
8,5,1,4
9,4,1,3
10,1,1,0
11,6,1,5
12,6,1,5
13,7,1,6
14,6,1,5
15,7,1,6
16,7,1,6
17,6,1,5
18,6,1,5
19,8,1,7
20,7,1,6
21,7,1,6
22,9,1,6
23,6,1,5
24,9,1,6
25,10,1,7
26,11,482,2
27,11,482,2
28,11,482,2
29,11,482,2
30,11,482,2
31,11,482,2
32,12,482,3
33,13,482,4
34,14,482,5
35,15,482,6
36,15,482,6
37,16,482,8
38,14,482,5
39,15,482,6
40,16,482,8
41,15,482,6
42,17,482,9
43,16,482,8
44,18,482,10
45,18,482,10
46,16,482,8
47,19,482,8
48,20,482,9
49,15,482,6
50,21,482,7
51,16,482,8
52,22,22,0
53,22,22,0
54,22,22,0
55,22,22,0
56,22,22,0
57,23,22,1
58,24,22,2
59,25,22,3
60,24,22,2
61,22,22,0
62,26,22,4
63,27,22,5
64,28,22,6
65,27,22,5
66,26,22,4
67,28,22,6
68,28,22,6
69,29,22,7
70,29,22,7
71,27,22,5
72,28,22,6
73,28,22,6
74,28,22,6
75,28,22,6
76,30,22,6
77,28,22,6
78,31,31,0
79,31,31,0
80,31,31,0
81,31,31,0
82,31,31,0
83,32,31,1
84,33,31,2
85,34,31,3
86,31,31,0
87,35,31,4
88,35,31,4
89,36,31,5
90,36,31,5
91,35,31,4
92,36,31,5
93,37,31,6
94,37,31,6
95,38,31,6
96,39,31,7
97,37,31,6
98,36,31,5
99,40,31,7
100,39,31,7
101,38,31,6
102,37,31,6
103,38,31,6
104,41,41,0
105,42,41,1
106,43,41,2
107,41,41,0
108,41,41,0
109,41,41,0
110,44,41,3
111,45,41,4
112,45,41,4
113,45,41,4
114,44,41,3
115,45,41,4
116,45,41,4
117,45,41,4
118,46,41,5
119,47,41,6
120,45,41,4
121,47,41,6
122,47,41,6
123,45,41,4
124,45,41,4
125,47,41,6
126,48,41,6
127,47,41,6
128,47,41,6
129,45,41,4
130,49,49,0
131,49,49,0
132,49,49,0
133,49,49,0
134,49,49,0
135,49,49,0
136,50,49,1
137,49,49,0
138,51,49,2
139,52,49,3
140,53,49,4
141,53,49,4
142,54,49,7
143,53,49,4
144,53,49,4
145,55,49,8
146,55,49,8
147,55,49,8
148,56,49,7
149,53,49,4
150,57,49,8
151,58,49,5
152,59,49,6
153,60,49,5
154,61,49,3
155,62,49,4
156,63,63,0
157,64,63,1
158,65,63,2
159,63,63,0
160,63,63,0
161,63,63,0
162,66,63,3
163,67,63,4
164,67,63,4
165,67,63,4
166,66,63,3
167,67,63,4
168,68,63,6
169,69,63,7
170,69,63,7
171,67,63,4
172,69,63,7
173,70,63,8
174,69,63,7
175,71,63,6
176,68,63,6
177,70,63,8
178,72,63,7
179,73,63,5
180,68,63,6
181,74,63,5
182,75,75,0
183,76,75,1
184,77,75,2
185,75,75,0
186,75,75,0
187,75,75,0
188,78,75,6
189,79,75,7
190,80,75,8
191,80,75,8
192,77,75,2
193,79,75,7
194,78,75,6
195,81,75,9
196,77,75,2
197,81,75,9
198,81,75,9
199,82,75,6
200,83,75,7
201,84,75,3
202,85,75,4
203,86,75,4
204,87,75,5
205,88,75,5
206,89,75,5
207,90,75,5
208,91,91,0
209,91,91,0
210,91,91,0
211,91,91,0
212,92,91,1
213,91,91,0
214,91,91,0
215,93,91,2
216,94,91,3
217,95,91,4
218,95,91,4
219,95,91,4
220,96,91,5
221,97,91,6
222,95,91,4
223,97,91,6
224,96,91,5
225,98,91,7
226,98,91,7
227,97,91,6
228,98,91,7
229,99,91,6
230,96,91,5
231,98,91,7
232,100,91,7
233,98,91,7
234,101,101,0
235,102,101,1
236,101,101,0
237,101,101,0
238,101,101,0
239,103,101,2
240,104,101,3
241,104,101,3
242,105,101,4
243,106,101,5
244,106,101,5
