seqID,cluster,ancestor,level
0,1,1,0
1,1,1,0
2,2,1,1
3,1,1,0
4,1,1,0
5,1,1,0
6,3,1,2
7,4,1,3
8,5,1,4
9,6,1,5
10,1,1,0
11,7,1,6
12,8,1,10
13,9,1,11
14,10,1,12
15,11,1,13
16,12,1,15
17,13,1,15
18,14,1,14
19,15,1,10
20,16,1,11
21,17,1,7
22,18,1,8
23,19,1,9
24,20,1,16
25,21,1,7
26,22,885,3
27,22,885,3
28,22,885,3
29,22,885,3
30,22,885,3
31,22,885,3
32,23,885,4
33,24,885,5
34,25,885,6
35,26,885,7
36,27,885,8
37,28,885,12
38,29,885,13
39,30,885,14
40,31,885,15
41,32,885,16
42,33,885,17
43,34,885,18
44,35,885,19
45,36,885,20
46,37,885,21
47,38,885,12
48,39,885,13
49,40,885,9
50,41,885,10
51,42,885,11
52,43,43,0
53,43,43,0
54,43,43,0
55,43,43,0
56,43,43,0
57,44,43,1
58,45,43,2
59,46,43,3
60,47,43,4
61,43,43,0
62,48,43,5
63,49,43,6
64,50,43,7
65,51,43,8
66,52,43,9
67,53,43,10
68,54,43,11
69,55,43,14
70,56,43,15
71,57,43,16
72,58,43,14
73,59,43,15
74,60,43,12
75,61,43,13
76,62,43,7
77,63,43,8
78,64,64,0
79,64,64,0
80,64,64,0
81,64,64,0
82,64,64,0
83,65,64,1
84,66,64,2
85,67,64,3
86,64,64,0
87,68,64,4
88,69,64,5
89,70,64,6
90,71,64,7
91,72,64,8
92,73,64,9
93,74,64,11
94,75,64,12
95,76,64,11
96,77,64,12
97,78,64,12
98,79,64,10
99,80,64,9
100,81,64,9
101,82,64,10
102,83,64,11
103,84,64,10
104,85,85,0
105,86,85,1
106,87,85,2
107,85,85,0
108,85,85,0
109,85,85,0
110,88,85,3
111,89,85,4
112,90,85,5
113,91,85,6
114,92,85,7
115,93,85,8
116,94,85,9
117,95,85,10
118,96,85,11
119,97,85,13
120,98,85,14
121,99,85,15
122,100,85,16
123,101,85,17
124,102,85,18
125,103,85,19
126,104,85,13
127,105,85,14
128,106,85,12
129,107,85,20
130,108,108,0
131,108,108,0
132,108,108,0
133,108,108,0
134,108,108,0
135,108,108,0
136,109,108,1
137,108,108,0
138,110,108,2
139,111,108,3
140,112,108,4
141,113,108,5
142,114,108,7
143,115,108,8
144,116,108,9
145,117,108,10
146,118,108,11
147,119,108,12
148,120,108,7
149,121,108,8
150,122,108,6
151,123,108,6
152,124,108,7
153,125,108,7
154,126,108,3
155,127,108,4
156,128,128,0
157,129,128,1
158,130,128,2
159,128,128,0
160,128,128,0
161,128,128,0
162,131,128,3
163,132,128,4
164,133,128,5
165,134,128,6
166,135,128,7
167,136,128,9
168,137,128,11
169,138,128,12
170,139,128,13
171,140,128,14
172,141,128,15
173,142,128,16
174,143,128,17
175,144,128,11
176,145,128,9
177,146,128,10
178,147,128,12
179,148,128,10
180,149,128,8
181,150,128,10
182,151,151,0
183,152,151,1
184,153,151,2
185,151,151,0
186,151,151,0
187,151,151,0
188,154,151,6
189,155,151,7
190,156,151,8
191,157,151,9
192,158,151,10
193,159,151,11
194,160,151,12
195,161,151,13
196,162,151,14
197,163,151,15
198,164,151,16
199,165,151,6
200,166,151,7
201,167,151,3
202,168,151,4
203,169,151,4
204,170,151,5
205,171,151,5
206,172,151,5
207,173,151,5
208,174,174,0
209,174,174,0
210,174,174,0
211,174,174,0
212,175,174,1
213,174,174,0
214,174,174,0
215,176,174,2
216,177,174,3
217,178,174,4
218,179,174,5
219,180,174,6
220,181,174,7
221,182,174,9
222,183,174,10
223,184,174,11
224,185,174,12
225,186,174,13
226,187,174,14
227,188,174,15
228,189,174,16
229,190,174,9
230,191,174,10
231,192,174,14
232,193,174,8
233,194,174,8
234,195,195,0
235,196,195,1
236,195,195,0
237,195,195,0
238,195,195,0
239,197,195,2
240,198,195,3
241,199,195,4
242,200,195,5
243,201,195,6
244,202,195,7
