seqID,cluster,ancestor
0,1,1
1,1,1
2,2,1
3,1,1
4,1,1
5,1,1
6,3,1
7,4,1
8,5,1
9,4,1
10,1,1
11,6,1
12,7,1
13,5,1
14,7,1
15,5,1
16,8,1
17,7,1
18,7,1
19,5,1
20,7,1
21,7,1
22,8,1
23,7,1
24,9,1
25,8,1
26,10,10
27,10,10
28,10,10
29,10,10
30,10,10
31,10,10
32,11,10
33,12,10
34,13,10
35,14,10
36,13,10
37,15,10
38,13,10
39,13,10
40,13,10
41,16,10
42,17,10
43,15,10
44,16,10
45,16,10
46,13,10
47,17,10
48,17,10
49,16,10
50,16,10
51,17,10
52,18,18
53,18,18
54,18,18
55,18,18
56,18,18
57,19,18
58,20,18
59,21,18
60,20,18
61,18,18
62,22,18
63,23,18
64,24,18
65,23,18
66,21,18
67,24,18
68,24,18
69,25,18
70,25,18
71,24,18
72,24,18
73,24,18
74,24,18
75,24,18
76,26,18
77,24,18
78,27,27
79,27,27
80,27,27
81,27,27
82,27,27
83,28,27
84,29,27
85,30,27
86,27,27
87,31,27
88,31,27
89,32,27
90,32,27
91,31,27
92,32,27
93,33,27
94,33,27
95,34,27
96,35,27
97,33,27
98,32,27
99,34,27
100,35,27
101,34,27
102,33,27
103,34,27
104,36,36
105,37,36
106,38,36
107,36,36
108,36,36
109,36,36
110,39,36
111,40,36
112,39,36
113,39,36
114,39,36
115,41,36
116,39,36
117,39,36
118,42,36
119,42,36
120,42,36
121,42,36
122,41,36
123,42,36
124,39,36
125,42,36
126,42,36
127,43,36
128,43,36
129,42,36
130,44,44
131,44,44
132,44,44
133,44,44
134,44,44
135,44,44
136,45,44
137,44,44
138,46,44
139,47,44
140,48,44
141,47,44
142,49,44
143,50,44
144,47,44
145,50,44
146,51,44
147,51,44
148,52,44
149,50,44
150,49,44
151,47,44
152,47,44
153,51,44
154,51,44
155,51,44
156,53,53
157,54,53
158,55,53
159,53,53
160,53,53
161,53,53
162,56,53
163,57,53
164,57,53
165,57,53
166,56,53
167,57,53
168,58,53
169,59,53
170,59,53
171,57,53
172,59,53
173,60,53
174,59,53
175,61,53
176,58,53
177,60,53
178,59,53
179,59,53
180,60,53
181,60,53
182,62,62
183,63,62
184,64,62
185,62,62
186,62,62
187,62,62
188,65,62
189,66,62
190,67,62
191,67,62
192,64,62
193,66,62
194,65,62
195,68,62
196,64,62
197,68,62
198,68,62
199,68,62
200,68,62
201,67,62
202,69,62
203,70,62
204,68,62
205,71,62
206,72,62
207,68,62
208,73,73
209,73,73
210,73,73
211,73,73
212,74,73
213,73,73
214,73,73
215,75,73
216,76,76
217,77,76
218,75,76
219,77,76
220,78,76
221,79,76
222,77,76
223,79,76
224,79,76
225,80,76
226,80,76
227,79,76
228,80,76
229,80,76
230,80,76
231,80,76
232,80,76
233,80,76
234,81,18
235,82,82
236,83,82
237,84,84
238,85,84
239,86,84
240,87,84
241,87,84
242,82,84
243,82,84
244,88,84
245,82,84
246,82,84
247,88,84
248,82,84
249,82,84
250,83,84
251,82,84
252,82,84
253,82,84
254,82,84
255,83,84
256,82,84
257,82,84
258,83,84
259,82,84
260,89,89
261,89,89
262,89,89
263,89,89
264,89,89
265,89,89
266,90,89
267,91,89
268,92,89
269,93,89
270,91,89
271,94,89
272,95,89
273,91,89
274,94,89
275,95,89
276,96,89
277,95,89
278,91,89
279,96,89
280,95,89
281,96,89
282,96,89
283,97,89
284,98,89
285,99,89
286,100,36
287,101,101
288,102,101
289,103,103
290,104,103
291,104,103
292,105,103
293,106,103
294,101,103
295,101,103
296,107,103
297,108,108
298,101,108
299,106,108
300,106,108
301,102,108
302,102,108
303,102,108
304,101,108
305,101,108
306,101,108
307,101,108
308,101,108
309,101,108
310,109,108
311,102,108
312,110,110
313,110,110
314,110,110
315,110,110
316,110,110
317,110,110
318,111,110
319,112,110
320,113,110
321,114,110
322,114,110
323,115,110
324,114,110
325,116,110
326,116,110
327,116,110
328,117,110
329,116,110
330,117,110
331,117,110
332,116,110
333,117,110
334,118,110
335,119,110
336,120,110
337,121,110
338,122,122
339,122,122
340,122,122
341,122,122
342,122,122
343,123,122
344,124,122
345,125,122
346,126,122
347,127,122
348,126,122
349,125,122
350,128,122
351,126,122
352,128,122
353,128,122
354,128,122
355,125,122
356,125,122
357,128,122
358,128,122
359,128,122
360,129,122
361,130,122
362,128,122
363,131,122
364,132,132
365,132,132
366,132,132
367,132,132
368,132,132
369,132,132
370,133,132
371,134,132
372,132,132
373,135,132
374,132,132
375,136,132
376,134,132
377,134,132
378,134,132
379,134,132
380,134,132
381,137,132
382,136,132
383,138,132
384,137,132
385,139,132
386,134,132
387,140,132
388,137,132
389,140,132
390,141,141
391,141,141
392,141,141
393,141,141
394,142,141
395,141,141
396,143,141
397,144,141
398,145,141
399,141,141
400,141,141
401,146,141
402,147,141
403,147,141
404,143,141
405,146,141
406,148,141
407,147,141
408,148,141
409,147,141
410,148,141
411,147,141
412,148,141
413,148,141
414,148,141
415,149,141
416,150,150
417,150,150
418,151,150
419,150,150
420,150,150
421,152,150
422,153,150
423,154,150
424,154,150
425,153,150
426,153,150
427,154,150
428,155,150
429,154,150
430,156,150
431,153,150
432,157,150
433,157,150
434,157,150
435,155,150
436,157,150
437,157,150
438,155,150
439,157,150
440,157,150
441,157,150
442,158,76
443,158,76
444,158,76
445,158,76
446,158,76
447,158,76
448,159,76
449,160,76
450,161,76
451,162,162
452,163,162
453,164,162
454,165,165
455,166,165
456,167,165
457,168,165
458,166,165
459,167,165
460,169,165
461,168,165
462,170,165
463,171,165
464,168,165
465,172,165
466,168,165
467,173,165
468,174,174
469,175,174
470,174,174
471,174,174
472,174,174
473,174,174
474,176,174
475,177,174
476,176,174
477,174,174
478,177,174
479,178,174
480,179,174
481,180,174
482,181,174
483,178,174
484,179,174
485,182,174
486,181,174
487,179,174
488,178,174
489,182,174
490,182,174
491,181,174
492,183,174
493,181,174
494,184,27
495,185,185
496,186,185
497,187,185
498,186,185
499,188,188
500,186,188
501,189,188
502,189,188
503,190,188
504,186,188
505,190,188
506,190,188
507,191,188
508,189,188
509,189,188
510,192,188
511,189,188
512,191,188
513,192,188
514,191,188
515,192,188
516,191,188
517,193,188
518,189,188
519,194,188
520,195,195
521,195,195
522,196,195
523,195,195
524,195,195
525,197,195
526,195,195
527,198,195
528,195,195
529,199,195
530,200,195
531,197,195
532,200,195
533,200,195
534,201,195
535,202,195
536,201,195
537,199,195
538,202,195
539,199,195
540,202,195
541,203,195
542,202,195
543,202,195
544,201,195
545,202,195
546,204,204
547,204,204
548,204,204
549,204,204
550,204,204
551,204,204
552,205,204
553,206,204
554,207,204
555,208,204
556,208,204
557,209,204
558,209,204
559,210,204
560,211,204
561,208,204
562,212,204
563,211,204
564,210,204
565,210,204
566,211,204
567,213,204
568,214,204
569,215,204
570,209,204
571,209,204
572,216,89
573,217,174
574,217,174
575,218,218
576,219,218
577,220,220
578,219,220
579,221,220
580,222,220
581,223,220
582,224,220
583,221,220
584,222,220
585,219,220
586,219,220
587,223,220
588,225,220
589,225,220
590,219,220
591,221,220
592,226,220
593,219,220
594,227,220
595,222,220
596,223,220
597,219,220
598,228,188
599,228,188
600,228,188
601,228,188
602,228,188
603,228,188
604,228,188
605,229,229
606,230,229
607,231,231
608,232,231
609,233,231
610,234,231
611,235,231
612,233,231
613,233,231
614,230,231
615,234,231
616,234,231
617,234,231
618,233,231
619,236,231
620,233,231
621,236,231
622,234,231
623,230,231
624,237,237
625,237,237
626,237,237
627,238,237
628,239,237
629,237,237
630,237,237
631,240,237
632,241,237
633,240,237
634,240,237
635,242,237
636,241,237
637,242,237
638,243,237
639,243,237
640,240,237
641,242,237
642,244,237
643,240,237
644,243,237
645,244,237
646,245,237
647,244,237
648,244,237
649,240,237
650,246,246
651,246,246
652,247,246
653,248,246
654,246,246
655,246,246
656,249,246
657,250,246
658,246,246
659,246,246
660,248,246
661,251,246
662,252,246
663,252,246
664,252,246
665,253,246
666,253,246
667,253,246
668,252,246
669,253,246
670,252,246
671,252,246
672,252,246
673,252,246
674,252,246
675,253,246
676,254,254
677,254,254
678,254,254
679,254,254
680,254,254
681,254,254
682,255,254
683,256,254
684,257,254
685,258,254
686,259,254
687,259,254
688,259,254
689,259,254
690,256,254
691,256,254
692,259,254
693,259,254
694,257,254
695,260,254
696,260,254
697,260,254
698,260,254
699,259,254
700,261,254
701,262,254
702,263,263
703,263,263
704,264,263
705,265,263
706,263,263
707,263,263
708,266,263
709,267,263
710,266,263
711,268,263
712,268,263
713,269,263
714,270,263
715,270,263
716,267,263
717,267,263
718,271,263
719,267,263
720,270,263
721,269,263
722,270,263
723,267,263
724,270,263
725,269,263
726,269,263
727,272,263
728,273,273
729,274,273
730,273,273
731,275,273
732,273,273
733,273,273
734,276,273
735,275,273
736,277,273
737,278,273
738,278,273
739,277,273
740,277,273
741,278,273
742,277,273
743,278,273
744,277,273
745,279,273
746,277,273
747,279,273
748,279,273
749,280,273
750,280,273
751,281,273
752,277,273
753,280,273
754,282,282
755,282,282
756,282,282
757,282,282
758,283,282
759,282,282
760,282,282
761,284,282
762,285,282
763,282,282
764,286,282
765,287,282
766,285,282
767,287,282
768,285,282
769,285,282
770,285,282
771,288,282
772,289,289
773,285,289
774,285,289
775,288,289
776,290,289
777,284,289
778,285,289
779,288,289
780,291,291
781,291,291
782,292,291
783,291,291
784,291,291
785,293,291
786,294,291
787,295,291
788,294,291
789,295,291
790,295,291
791,296,291
792,297,291
793,295,291
794,291,291
795,297,291
796,298,291
797,297,291
798,297,291
799,297,291
800,298,291
801,297,291
802,299,291
803,298,291
804,300,291
805,298,291
806,301,301
807,301,301
808,301,301
809,301,301
810,301,301
811,301,301
812,302,301
813,303,301
814,301,301
815,304,301
816,305,301
817,306,301
818,306,301
819,305,301
820,306,301
821,306,301
822,307,301
823,307,301
824,307,301
825,308,301
826,305,301
827,308,301
828,308,301
829,307,301
830,306,301
831,308,301
832,309,174
833,310,310
834,311,310
835,312,312
836,311,312
837,313,312
838,311,312
839,314,312
840,315,312
841,311,312
842,314,312
843,311,312
844,311,312
845,314,312
846,311,312
847,311,312
848,311,312
849,311,312
850,311,312
851,311,312
852,316,312
853,311,312
854,317,312
855,310,312
856,311,312
857,310,312
858,318,318
859,318,318
860,318,318
861,318,318
862,318,318
863,318,318
864,319,318
865,318,318
866,320,318
867,321,318
868,320,318
869,322,318
870,323,318
871,322,318
872,322,318
873,324,318
874,323,318
875,323,318
876,325,318
877,323,318
878,323,318
879,326,318
880,323,318
881,327,318
882,323,318
883,323,318
884,328,328
885,329,328
886,328,328
887,328,328
888,328,328
889,328,328
890,330,328
891,331,328
892,331,328
893,332,328
894,328,328
895,333,328
896,333,328
897,334,328
898,332,328
899,334,328
900,334,328
901,335,328
902,335,328
903,333,328
904,335,328
905,335,328
906,336,328
907,335,328
908,334,328
909,335,328
910,337,337
911,337,337
912,337,337
913,337,337
914,337,337
915,337,337
916,338,337
917,339,337
918,337,337
919,337,337
920,340,337
921,341,337
922,342,337
923,339,337
924,343,337
925,339,337
926,344,337
927,345,337
928,339,337
929,342,337
930,339,337
931,339,337
932,344,337
933,346,337
934,345,337
935,347,337
936,348,348
937,348,348
938,348,348
939,348,348
940,348,348
941,348,348
942,349,348
943,350,348
944,351,348
945,348,348
946,350,348
947,352,348
948,353,348
949,352,348
950,352,348
951,352,348
952,354,348
953,355,348
954,356,348
955,353,348
956,350,348
957,357,348
958,358,348
959,354,348
960,359,348
961,360,348
962,361,361
963,361,361
964,361,361
965,361,361
966,361,361
967,361,361
968,362,361
969,361,361
970,363,361
971,364,361
972,365,361
973,366,361
974,366,361
975,367,361
976,366,361
977,363,361
978,368,361
979,366,361
980,368,361
981,366,361
982,366,361
983,369,361
984,370,361
985,368,361
986,371,361
987,372,361
988,373,373
989,373,373
990,374,373
991,373,373
992,373,373
993,373,373
994,375,373
995,376,373
996,377,373
997,375,373
998,376,373
999,378,373
1000,378,373
1001,378,373
1002,379,373
1003,375,373
1004,375,373
1005,378,373
1006,378,373
1007,379,373
1008,379,373
1009,380,373
1010,381,373
1011,378,373
1012,380,373
1013,378,373
1014,382,382
1015,383,382
1016,382,382
1017,384,382
1018,385,382
1019,384,382
1020,386,382
1021,384,382
1022,384,382
1023,384,382
1024,387,382
1025,387,382
1026,388,382
1027,389,382
1028,384,382
1029,388,382
1030,387,382
1031,388,382
1032,387,382
1033,389,382
1034,389,382
1035,389,382
1036,389,382
1037,389,382
1038,388,382
1039,389,382
1040,390,390
1041,390,390
1042,391,390
1043,390,390
1044,392,390
1045,390,390
1046,390,390
1047,393,390
1048,394,390
1049,390,390
1050,393,390
1051,395,390
1052,396,390
1053,396,390
1054,395,390
1055,393,390
1056,397,390
1057,397,390
1058,398,390
1059,397,390
1060,398,390
1061,399,390
1062,397,390
1063,400,390
1064,401,390
1065,402,390
1066,403,10
1067,404,404
1068,405,404
1069,406,406
1070,407,406
1071,408,406
1072,409,406
1073,409,406
1074,408,406
1075,404,406
1076,404,406
1077,410,406
1078,404,406
1079,404,406
1080,411,406
1081,404,406
1082,404,406
1083,404,406
1084,404,406
1085,404,406
1086,404,406
1087,412,406
1088,404,406
1089,405,406
1090,404,406
1091,404,406
