seqID,cluster,ancestor
0,1,1
1,1,110
2,2,110
3,1,110
4,1,110
5,1,110
6,3,110
7,4,110
8,5,110
9,4,110
10,1,110
11,6,110
12,6,110
13,7,110
14,6,110
15,7,110
16,7,110
17,6,110
18,6,110
19,8,110
20,7,110
21,7,110
22,8,110
23,6,110
24,9,110
25,8,110
26,10,420
27,10,420
28,10,420
29,10,420
30,10,420
31,10,420
32,11,420
33,12,420
34,13,420
35,14,420
36,14,420
37,15,420
38,13,420
39,14,420
40,15,420
41,14,420
42,16,420
43,15,420
44,17,420
45,17,420
46,15,420
47,16,420
48,16,420
49,14,420
50,16,420
51,16,420
52,18,110
53,18,110
54,18,110
55,18,110
56,18,110
57,19,110
58,20,110
59,21,110
60,20,110
61,18,110
62,22,110
63,23,110
64,24,110
65,23,110
66,22,110
67,24,110
68,24,110
69,25,110
70,25,110
71,23,110
72,24,110
73,24,110
74,24,110
75,24,110
76,26,110
77,24,110
78,27,241
79,27,241
80,27,241
81,27,241
82,27,241
83,28,241
84,29,241
85,30,241
86,27,241
87,31,241
88,31,241
89,32,241
90,32,241
91,31,241
92,32,241
93,33,241
94,33,241
95,34,241
96,35,241
97,33,241
98,32,241
99,34,241
100,35,241
101,34,241
102,33,241
103,34,241
104,36,110
105,37,110
106,38,110
107,36,110
108,36,110
109,36,110
110,39,110
111,40,110
112,40,110
113,40,110
114,39,110
115,40,110
116,40,110
117,40,110
118,41,110
119,42,110
120,40,110
121,42,110
122,42,110
123,40,110
124,40,110
125,42,110
126,43,110
127,42,110
128,42,110
129,40,110
130,44,44
131,44,44
132,44,44
133,44,44
134,44,44
135,44,44
136,45,44
137,44,44
138,46,44
139,47,44
140,48,44
141,48,44
142,49,44
143,48,44
144,48,44
145,50,44
146,50,44
147,50,44
148,51,44
149,48,44
150,50,44
151,51,44
152,51,44
153,52,44
154,53,44
155,50,44
156,54,170
157,55,170
158,56,170
159,54,170
160,54,170
161,54,170
162,57,170
163,58,170
164,58,170
165,58,170
166,57,170
167,58,170
168,59,170
169,60,170
170,60,170
171,58,170
172,60,170
173,61,170
174,60,170
175,62,170
176,59,170
177,61,170
178,60,170
179,60,170
180,61,170
181,61,170
182,63,63
183,64,63
184,65,63
185,63,63
186,63,63
187,63,63
188,66,63
189,67,63
