seqID,cluster,ancestor
0,1,1
1,1,1
2,2,1
3,1,1
4,1,1
5,1,1
6,3,1
7,4,1
8,5,1
9,6,1
10,1,1
11,7,1
12,8,8
13,9,1
14,10,1
15,11,11
16,12,12
17,13,13
18,14,14
19,15,15
20,16,16
21,17,17
22,18,18
23,19,19
24,20,20
25,21,21
26,22,22
27,22,22
28,22,22
29,22,22
30,22,22
31,22,22
32,23,22
33,24,22
34,25,22
35,26,22
36,27,22
37,28,22
38,29,22
39,30,22
40,31,31
41,32,22
42,33,33
43,34,22
44,35,22
45,36,36
46,37,22
47,38,38
48,39,39
49,40,22
50,41,41
51,42,42
52,43,43
53,43,43
54,43,43
55,43,43
56,43,43
57,44,43
58,45,43
59,46,43
60,47,43
61,43,43
62,48,43
63,49,43
64,50,50
65,51,43
66,52,43
67,53,53
68,54,54
69,55,55
70,56,56
71,57,43
72,58,58
73,59,59
74,60,60
75,61,61
76,62,62
77,63,63
78,64,64
79,64,64
80,64,64
81,64,64
82,64,64
83,65,64
84,66,64
85,67,64
86,64,64
87,68,64
88,69,64
89,70,64
90,71,64
91,72,64
92,73,64
93,74,64
94,75,75
95,76,64
96,77,77
97,78,78
98,79,64
99,80,80
100,81,81
101,82,82
102,83,83
103,84,84
104,85,85
105,86,85
106,87,85
107,85,85
108,85,85
109,85,85
110,88,85
111,89,85
112,90,85
113,91,85
114,92,85
115,93,85
116,94,85
117,95,85
118,96,85
119,97,85
120,98,98
121,99,99
122,100,100
123,101,85
124,102,85
125,103,85
126,104,104
127,105,85
128,106,106
129,107,85
130,108,108
131,108,108
132,108,108
133,108,108
134,108,108
135,108,108
136,109,108
137,108,108
138,110,108
139,111,108
140,112,108
141,113,108
142,114,114
143,115,108
144,116,108
145,117,108
146,118,118
147,119,119
148,120,120
149,121,108
150,122,122
151,123,123
152,124,124
153,125,125
154,126,126
155,127,108
156,128,128
157,129,128
158,130,128
159,128,128
160,128,128
161,128,128
162,131,128
163,132,128
164,133,128
165,134,128
166,135,128
167,136,128
168,137,137
169,138,138
170,139,139
171,140,128
172,141,128
173,142,142
174,143,143
175,144,144
176,145,145
177,146,146
178,147,147
179,148,148
180,149,149
181,150,150
182,151,151
183,152,151
184,153,151
185,151,151
186,151,151
187,151,151
188,154,151
189,155,151
190,156,151
191,157,151
192,158,151
193,159,151
194,160,151
195,161,161
196,162,151
197,163,151
198,164,151
199,165,165
200,166,166
201,167,151
202,168,168
203,169,169
204,170,170
205,171,171
206,172,172
207,173,173
208,174,174
209,174,174
210,174,174
211,174,174
212,175,174
213,174,174
214,174,174
215,176,174
216,177,174
217,178,174
218,179,174
219,180,174
220,181,174
221,182,182
222,183,174
223,184,174
224,185,185
225,186,186
226,187,187
227,188,174
228,189,189
229,190,190
230,191,174
231,192,192
232,193,193
233,194,194
234,195,195
235,196,195
236,195,195
237,195,195
238,195,195
239,197,195
240,198,195
241,199,195
242,200,195
243,201,195
244,202,195
245,203,195
246,204,195
247,205,195
248,206,195
249,207,207
250,208,208
251,209,195
252,210,210
253,211,195
254,212,195
255,213,213
256,214,214
257,215,215
258,216,216
259,217,217
260,218,218
261,218,218
262,218,218
263,218,218
264,218,218
265,218,218
266,219,218
267,220,218
268,221,218
269,222,218
270,223,218
271,224,218
272,225,218
273,226,226
274,227,218
275,228,218
276,229,229
277,230,230
278,231,231
279,232,232
280,233,218
281,234,234
282,235,235
283,236,236
284,237,237
285,238,238
286,239,239
287,240,239
288,241,239
289,239,239
290,239,239
291,239,239
292,242,239
293,243,239
294,244,239
295,245,239
296,246,239
297,247,247
298,248,239
299,249,239
300,250,239
301,251,239
302,252,252
303,253,253
304,254,239
305,255,255
306,256,239
307,257,257
308,258,258
309,259,259
310,260,239
311,261,261
312,262,262
313,262,262
314,262,262
315,262,262
316,262,262
317,262,262
318,263,262
319,264,262
320,265,262
321,266,262
322,267,262
323,268,262
324,269,262
325,270,262
326,271,262
327,272,262
328,273,273
329,274,262
330,275,275
331,276,276
332,277,262
333,278,278
334,279,279
335,280,280
336,281,281
337,282,282
338,283,283
339,283,283
340,283,283
341,283,283
342,283,283
343,284,283
344,285,283
345,286,283
346,287,283
347,288,283
348,289,283
349,290,283
350,291,283
351,292,283
352,293,293
353,294,283
354,295,295
355,296,296
356,297,283
357,298,283
358,299,299
359,300,300
360,301,301
361,302,302
362,303,283
363,304,304
364,305,305
365,305,305
366,305,305
367,305,305
368,305,305
369,305,305
370,306,305
371,307,305
372,305,305
373,308,305
374,305,305
375,309,305
376,310,305
377,311,305
378,312,305
379,313,305
380,314,305
381,315,315
382,316,305
383,317,317
384,318,305
385,319,319
386,320,320
387,321,321
388,322,322
389,323,323
390,324,324
391,324,324
392,324,324
393,324,324
394,325,324
395,324,324
396,326,324
397,327,324
398,328,324
399,324,324
400,324,324
401,329,324
402,330,330
403,331,324
404,332,324
405,333,324
406,334,334
407,335,335
408,336,336
409,337,337
410,338,324
411,339,339
412,340,340
413,341,341
414,342,342
415,343,343
416,344,344
417,344,344
418,345,344
419,344,344
420,344,344
421,346,344
422,347,344
423,348,344
424,349,344
425,350,344
426,351,344
427,352,344
428,353,344
429,354,344
430,355,344
431,356,344
432,357,357
433,358,358
434,359,359
435,360,344
436,361,361
437,362,362
438,363,344
439,364,364
440,365,365
441,366,366
442,367,367
443,367,367
444,367,367
445,367,367
446,367,367
447,367,367
448,368,367
449,369,367
450,370,367
451,371,367
452,372,367
453,373,367
454,374,367
455,375,367
456,376,367
457,377,367
458,378,367
459,379,379
460,380,380
461,381,381
462,382,382
463,383,383
464,384,384
465,385,385
466,386,386
467,387,387
468,388,388
469,389,388
470,388,388
471,388,388
472,388,388
473,388,388
474,390,388
475,391,388
476,392,388
477,388,388
478,393,388
479,394,388
480,395,395
481,396,388
482,397,397
483,398,388
484,399,399
485,400,400
486,401,401
487,402,388
488,403,403
489,404,404
490,405,405
491,406,406
492,407,407
493,408,408
494,409,409
495,409,409
496,409,409
497,410,409
498,409,409
499,409,409
500,411,409
501,412,409
502,413,409
503,414,409
504,415,409
505,416,409
506,417,409
507,418,418
508,419,409
509,420,420
510,421,421
511,422,422
512,423,423
513,424,424
514,425,425
515,426,426
516,427,427
517,428,428
518,429,429
519,430,430
520,431,431
521,431,431
522,432,431
523,431,431
524,431,431
525,433,431
526,431,431
527,434,431
528,431,431
529,435,431
530,436,431
531,437,431
532,438,431
533,439,431
534,440,440
535,441,431
536,442,442
537,443,443
538,444,444
539,445,445
540,446,431
541,447,447
542,448,448
543,449,449
544,450,450
545,451,451
546,452,452
547,452,452
548,452,452
549,452,452
550,452,452
551,452,452
552,453,452
553,454,452
554,455,452
555,456,452
556,457,452
557,458,452
558,459,459
559,460,460
560,461,461
561,462,452
562,463,463
563,464,464
564,465,452
565,466,466
566,467,467
567,468,468
568,469,469
569,470,470
570,471,471
571,472,472
572,473,473
573,473,473
574,473,473
575,474,473
576,473,473
577,473,473
578,475,473
579,476,473
580,477,473
581,478,473
582,479,473
583,480,480
584,481,481
585,482,473
586,483,473
587,484,473
588,485,485
589,486,486
590,487,473
591,488,488
592,489,473
593,490,473
594,491,491
595,492,492
596,493,493
597,494,494
598,495,495
599,495,495
600,495,495
601,495,495
602,495,495
603,496,495
604,497,495
605,498,495
606,499,495
607,500,495
608,495,495
609,501,495
610,502,495
611,503,495
612,504,504
613,505,505
614,506,495
615,507,495
616,508,508
617,509,509
618,510,510
619,511,511
620,512,512
621,513,513
622,514,514
623,515,495
624,516,516
625,516,516
626,516,516
627,517,516
628,518,516
629,516,516
630,516,516
631,519,516
632,520,516
633,521,516
634,522,516
635,523,523
636,524,516
637,525,525
638,526,516
639,527,516
640,528,516
641,529,529
642,530,530
643,531,516
644,532,532
645,533,533
646,534,534
647,535,535
648,536,536
649,537,516
650,538,538
651,538,538
652,539,538
653,540,538
654,538,538
655,538,538
656,541,538
657,542,538
658,538,538
659,538,538
660,543,538
661,544,538
662,545,545
663,546,538
664,547,538
665,548,548
666,549,549
667,550,550
668,551,551
669,552,552
670,553,553
671,554,554
672,555,555
673,556,556
674,557,557
675,558,558
676,559,559
677,559,559
678,559,559
679,559,559
680,559,559
681,559,559
682,560,559
683,561,559
684,562,559
685,563,559
686,564,559
687,565,559
688,566,559
689,567,559
690,568,559
691,569,559
692,570,559
693,571,559
694,572,559
695,573,559
696,574,559
697,575,575
698,576,576
699,577,577
700,578,578
701,579,579
702,580,580
703,580,580
704,581,580
705,582,580
706,580,580
707,580,580
708,583,580
709,584,580
710,585,580
711,586,580
712,587,580
713,588,588
714,589,589
715,590,590
716,591,580
717,592,580
718,593,593
719,594,580
720,595,595
721,596,596
722,597,597
723,598,598
724,599,599
725,600,600
726,601,580
727,602,602
728,603,603
729,604,603
730,603,603
731,605,603
732,603,603
733,603,603
734,606,603
735,607,603
736,608,603
737,609,603
738,610,603
739,611,603
740,612,603
741,613,603
742,614,603
743,615,603
744,616,616
745,617,617
746,618,603
747,619,619
748,620,620
749,621,621
750,622,622
751,623,623
752,624,624
753,625,625
754,626,626
755,626,626
756,626,626
757,626,626
758,627,626
759,626,626
760,626,626
761,628,626
762,629,626
763,626,626
764,630,626
765,631,626
766,632,626
767,633,626
768,634,634
769,635,626
770,636,626
771,637,637
772,638,626
773,639,639
774,640,626
775,641,641
776,642,642
777,643,643
778,644,644
779,645,645
780,646,646
781,646,646
782,647,646
783,646,646
784,646,646
785,648,646
786,649,646
787,650,646
788,651,646
789,652,646
790,653,646
791,654,654
792,655,655
793,656,646
794,646,646
795,657,646
796,658,658
797,659,646
798,660,660
799,661,661
800,662,662
801,663,663
802,664,664
803,665,665
804,666,666
805,667,667
806,668,668
807,668,668
808,668,668
809,668,668
810,668,668
811,668,668
812,669,668
813,670,668
814,668,668
815,671,668
816,672,668
817,673,668
818,674,668
819,675,668
820,676,668
821,677,677
822,678,678
823,679,679
824,680,680
825,681,681
826,682,668
827,683,683
828,684,684
829,685,685
830,686,686
831,687,687
832,688,688
833,689,688
834,688,688
835,690,688
836,688,688
837,691,688
838,692,688
839,693,688
840,694,688
841,695,688
842,696,688
843,697,697
844,698,688
845,699,688
846,700,700
847,701,688
848,702,702
849,703,703
850,704,704
851,705,705
852,706,706
853,707,707
854,708,708
855,709,709
856,710,710
857,711,711
858,712,712
859,712,712
860,712,712
861,712,712
862,712,712
863,712,712
864,713,712
865,712,712
866,714,712
867,715,712
868,716,712
869,717,712
870,718,718
871,719,712
872,720,712
873,721,712
874,722,722
875,723,723
876,724,724
877,725,712
878,726,726
879,727,727
880,728,728
881,729,729
882,730,730
883,731,731
884,732,732
885,733,732
886,732,732
887,732,732
888,732,732
889,732,732
890,734,732
891,735,732
892,736,732
893,737,732
894,732,732
895,738,732
896,739,732
897,740,732
898,741,732
899,742,732
900,743,743
901,744,744
902,745,745
903,746,732
904,747,747
905,748,748
906,749,749
907,750,750
908,751,751
909,752,752
910,753,753
911,753,753
912,753,753
913,753,753
914,753,753
915,753,753
916,754,753
917,755,755
918,753,753
919,753,753
920,756,753
921,757,753
922,758,753
923,759,753
924,760,753
925,761,753
926,762,762
927,763,763
928,764,764
929,765,765
930,766,766
931,767,767
932,768,768
933,769,769
934,770,770
935,771,771
936,772,772
937,772,772
938,772,772
939,772,772
940,772,772
941,772,772
942,773,772
943,774,772
944,775,772
945,772,772
946,776,772
947,777,772
948,778,778
949,779,772
950,780,772
951,781,772
952,782,782
953,783,783
954,784,784
955,785,772
956,786,772
957,787,787
958,788,788
959,789,789
960,790,790
961,791,791
962,792,792
963,792,792
964,792,792
965,792,792
966,792,792
967,792,792
968,793,792
969,792,792
970,794,792
971,795,792
972,796,792
973,797,797
974,798,792
975,799,792
976,800,800
977,801,792
978,802,792
979,803,803
980,804,804
981,805,792
982,806,806
983,807,807
984,808,808
985,809,809
986,810,810
987,811,811
988,812,812
989,812,812
990,813,812
991,812,812
992,812,812
993,812,812
994,814,812
995,815,812
996,816,812
997,817,812
998,818,812
999,819,819
1000,820,812
1001,821,812
1002,822,812
1003,823,812
1004,824,824
1005,825,812
1006,826,812
1007,827,812
1008,828,812
1009,829,829
1010,830,830
1011,831,812
1012,832,832
1013,833,833
1014,834,834
1015,835,834
1016,834,834
1017,836,834
1018,837,834
1019,838,834
1020,839,834
1021,840,834
1022,841,834
1023,842,834
1024,843,843
1025,844,834
1026,845,845
1027,846,846
1028,847,834
1029,848,834
1030,849,849
1031,850,834
1032,851,851
1033,852,834
1034,853,853
1035,854,854
1036,855,855
1037,856,856
1038,857,857
1039,858,858
1040,859,859
1041,859,859
1042,860,859
1043,859,859
1044,861,859
1045,859,859
1046,859,859
1047,862,859
1048,863,859
1049,859,859
1050,864,859
1051,865,865
1052,866,866
1053,867,859
1054,868,859
1055,869,859
1056,870,870
1057,871,871
1058,872,872
1059,873,873
1060,874,874
1061,875,875
1062,876,876
1063,877,877
1064,878,878
1065,879,879
1066,880,880
1067,881,880
1068,882,880
1069,880,880
1070,880,880
1071,880,880
1072,883,880
1073,880,880
1074,880,880
1075,880,880
1076,884,880
1077,885,880
1078,886,880
1079,887,880
1080,888,888
1081,889,880
1082,890,890
1083,891,891
1084,892,880
1085,893,880
1086,894,880
1087,895,895
1088,896,896
1089,897,897
1090,898,898
1091,899,899
